artist_name,album_title,song_title,track_number,allmusic_song_genre,allmusic_song_style,allmusic_song_mood,allmusic_song_theme,allmusic_composers,allmusic_track_pick,allmusic_album_genre,allmusic_album_style,allmusic_album_mood,allmusic_album_theme,allmusic_album_duration,allmusic_recording_location,allmusic_release_date,allmusic_album_duration_sec
The Verve,A Storm in Heaven,Star Sail,1,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Indie Rock, Shoegaze","Druggy, Reflective, Sensual, Trippy, Restrained, Stylish, Cerebral, Detached, Ethereal, Hypnotic, Nocturnal, Intimate, Melancholy","Late Night, Night Driving, Introspection, Reflection, Solitude","Richard Ashcroft, Simon Jones, Nick McCabe, Peter Salisbury",False,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Dream Pop, Shoegaze, Space Rock, Britpop, Indie Pop, Indie Rock, Neo-Psychedelia, Noise Pop","Dreamy, Spacey, Cerebral, Detached, Restrained, Trippy, Bittersweet, Brooding, Cathartic, Druggy, Earnest, Earthy, Ethereal, Hypnotic, Intimate, Melancholy, Organic, Passionate, Reflective, Sensual, Somber, Sophisticated, Stylish, Theatrical, Wistful",Night Driving,47:02,Unknown,1993-06-21,2822.0
The Verve,A Storm in Heaven,Slide Away,2,Pop/Rock,"Alternative/Indie Rock, Indie Rock, Alternative Pop/Rock, Space Rock, Shoegaze","Brash, Druggy, Reflective, Restrained, Stylish, Trippy, Cerebral, Detached, Nocturnal, Sensual, Ethereal, Hypnotic, Intimate, Melancholy","Late Night, Night Driving, In Love, Introspection, Reflection, Solitude","Richard Ashcroft, Simon Jones, Nick McCabe, Peter Salisbury",True,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Dream Pop, Shoegaze, Space Rock, Britpop, Indie Pop, Indie Rock, Neo-Psychedelia, Noise Pop","Dreamy, Spacey, Cerebral, Detached, Restrained, Trippy, Bittersweet, Brooding, Cathartic, Druggy, Earnest, Earthy, Ethereal, Hypnotic, Intimate, Melancholy, Organic, Passionate, Reflective, Sensual, Somber, Sophisticated, Stylish, Theatrical, Wistful",Night Driving,47:02,Unknown,1993-06-21,2822.0
The Verve,A Storm in Heaven,Already There,3,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Shoegaze, Indie Rock","Druggy, Reflective, Trippy, Restrained, Stylish, Cerebral, Detached, Ethereal, Hypnotic, Intimate","Late Night, Night Driving, Feeling Blue, Introspection, Reflection, Reminiscing, Solitude","Richard Ashcroft, Simon Jones, Nick McCabe, Peter Salisbury",False,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Dream Pop, Shoegaze, Space Rock, Britpop, Indie Pop, Indie Rock, Neo-Psychedelia, Noise Pop","Dreamy, Spacey, Cerebral, Detached, Restrained, Trippy, Bittersweet, Brooding, Cathartic, Druggy, Earnest, Earthy, Ethereal, Hypnotic, Intimate, Melancholy, Organic, Passionate, Reflective, Sensual, Somber, Sophisticated, Stylish, Theatrical, Wistful",Night Driving,47:02,Unknown,1993-06-21,2822.0
The Verve,A Storm in Heaven,Beautiful Mind,4,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Indie Rock, Shoegaze","Druggy, Reflective, Sensual, Trippy, Restrained, Stylish, Cerebral, Detached, Ethereal, Hypnotic, Nocturnal, Intimate, Melancholy","Late Night, Night Driving, In Love, Introspection, Reflection, Solitude","Richard Ashcroft, Simon Jones, Nick McCabe, Peter Salisbury",True,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Dream Pop, Shoegaze, Space Rock, Britpop, Indie Pop, Indie Rock, Neo-Psychedelia, Noise Pop","Dreamy, Spacey, Cerebral, Detached, Restrained, Trippy, Bittersweet, Brooding, Cathartic, Druggy, Earnest, Earthy, Ethereal, Hypnotic, Intimate, Melancholy, Organic, Passionate, Reflective, Sensual, Somber, Sophisticated, Stylish, Theatrical, Wistful",Night Driving,47:02,Unknown,1993-06-21,2822.0
The Verve,A Storm in Heaven,The Sun the Sea,5,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Indie Rock, Shoegaze","Brash, Confrontational, Visceral, Volatile","Late Night, Night Driving, Feeling Blue, Introspection, Reflection, Solitude","Richard Ashcroft, Simon Jones, Nick McCabe, Peter Salisbury",False,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Dream Pop, Shoegaze, Space Rock, Britpop, Indie Pop, Indie Rock, Neo-Psychedelia, Noise Pop","Dreamy, Spacey, Cerebral, Detached, Restrained, Trippy, Bittersweet, Brooding, Cathartic, Druggy, Earnest, Earthy, Ethereal, Hypnotic, Intimate, Melancholy, Organic, Passionate, Reflective, Sensual, Somber, Sophisticated, Stylish, Theatrical, Wistful",Night Driving,47:02,Unknown,1993-06-21,2822.0
The Verve,A Storm in Heaven,Virtual World,6,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Indie Rock, Shoegaze, Space Rock","Druggy, Ethereal, Reflective, Detached, Stylish, Bittersweet, Brooding, Laid-Back/Mellow, Poignant, Intimate, Melancholy","Late Night, Night Driving, Feeling Blue, Introspection, Reflection, Solitude","Richard Ashcroft, Simon Jones, Nick McCabe, Peter Salisbury",False,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Dream Pop, Shoegaze, Space Rock, Britpop, Indie Pop, Indie Rock, Neo-Psychedelia, Noise Pop","Dreamy, Spacey, Cerebral, Detached, Restrained, Trippy, Bittersweet, Brooding, Cathartic, Druggy, Earnest, Earthy, Ethereal, Hypnotic, Intimate, Melancholy, Organic, Passionate, Reflective, Sensual, Somber, Sophisticated, Stylish, Theatrical, Wistful",Night Driving,47:02,Unknown,1993-06-21,2822.0
The Verve,A Storm in Heaven,Make It ‘Til Monday,7,Unknown,Unknown,Unknown,Unknown,"Richard Ashcroft, Simon Jones, Nick McCabe, Peter Salisbury",False,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Dream Pop, Shoegaze, Space Rock, Britpop, Indie Pop, Indie Rock, Neo-Psychedelia, Noise Pop","Dreamy, Spacey, Cerebral, Detached, Restrained, Trippy, Bittersweet, Brooding, Cathartic, Druggy, Earnest, Earthy, Ethereal, Hypnotic, Intimate, Melancholy, Organic, Passionate, Reflective, Sensual, Somber, Sophisticated, Stylish, Theatrical, Wistful",Night Driving,47:02,Unknown,1993-06-21,2822.0
The Verve,A Storm in Heaven,Blue,8,Pop/Rock,"Alternative/Indie Rock, Shoegaze, Space Rock, Indie Rock, Alternative Pop/Rock","Brash, Druggy, Trippy, Detached, Sensual, Ethereal, Hypnotic","Feeling Blue, Introspection, Reflection, Solitude","Richard Ashcroft, Simon Jones, Nick McCabe, Peter Salisbury",True,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Dream Pop, Shoegaze, Space Rock, Britpop, Indie Pop, Indie Rock, Neo-Psychedelia, Noise Pop","Dreamy, Spacey, Cerebral, Detached, Restrained, Trippy, Bittersweet, Brooding, Cathartic, Druggy, Earnest, Earthy, Ethereal, Hypnotic, Intimate, Melancholy, Organic, Passionate, Reflective, Sensual, Somber, Sophisticated, Stylish, Theatrical, Wistful",Night Driving,47:02,Unknown,1993-06-21,2822.0
The Verve,A Storm in Heaven,Butterfly,9,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Indie Rock, Shoegaze","Druggy, Reflective, Trippy, Restrained, Stylish, Cerebral, Detached, Ethereal, Hypnotic, Nocturnal, Intimate, Melancholy","Introspection, Reflection, Solitude, Late Night, Night Driving, Feeling Blue","Richard Ashcroft, Simon Jones, Nick McCabe, Peter Salisbury",False,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Dream Pop, Shoegaze, Space Rock, Britpop, Indie Pop, Indie Rock, Neo-Psychedelia, Noise Pop","Dreamy, Spacey, Cerebral, Detached, Restrained, Trippy, Bittersweet, Brooding, Cathartic, Druggy, Earnest, Earthy, Ethereal, Hypnotic, Intimate, Melancholy, Organic, Passionate, Reflective, Sensual, Somber, Sophisticated, Stylish, Theatrical, Wistful",Night Driving,47:02,Unknown,1993-06-21,2822.0
The Verve,A Storm in Heaven,See You in the Next One (Have a Good Time),10,Unknown,Unknown,Unknown,Unknown,"Richard Ashcroft, Simon Jones, Nick McCabe, Peter Salisbury",False,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Dream Pop, Shoegaze, Space Rock, Britpop, Indie Pop, Indie Rock, Neo-Psychedelia, Noise Pop","Dreamy, Spacey, Cerebral, Detached, Restrained, Trippy, Bittersweet, Brooding, Cathartic, Druggy, Earnest, Earthy, Ethereal, Hypnotic, Intimate, Melancholy, Organic, Passionate, Reflective, Sensual, Somber, Sophisticated, Stylish, Theatrical, Wistful",Night Driving,47:02,Unknown,1993-06-21,2822.0
