track_id,track_name,artist_name,album_name,song_genre,release_date,track_number,disc_number,duration_ms,duration_s,release_country,composers,recording_location,label,has_label,musicbrainz_tags,musicbrainz_num_tags,musicbrainz_has_tags,song_style,song_mood,song_theme,album_type,album_genre,album_style,album_mood,album_theme,album_duration,album_duration_sec,artist_type,artist_gender,artist_country,artist_lifespan_begin,artist_lifespan_end,artist_is_active,allmusic_track_pick,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
4Kucn8p48pDkoZdIRCOB01,Season,Ash,Trailer,Pop/Rock,1994-10-01,1,1,181040,181.04,Unknown,Tim Wheeler,Unknown,Unknown,False,Unknown,0,False,"Alternative Pop/Rock, Alternative/Indie Rock, Pop Punk, Britpop, Indie Pop","Boisterous, Brash, Confident, Energetic, Exuberant, Rambunctious, Rollicking, Rowdy, Freewheeling, Rousing, Aggressive",Day Driving,album,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Britpop, Indie Pop, Pop Punk","Strong, Belligerent, Sentimental",Unknown,37:40,2260.0,Group,N/A (Group),GB,1989,,True,False,0,False,0.209,0.992,0,-6.059,1,0.109,0.000896,0.84,0.517,0.207,171.929,4
0boNKrTLvgY200vkhmfkrl,Jack Names The Planets,Ash,Trailer,Pop/Rock,1994-10-01,2,1,190360,190.36,XW,Tim Wheeler,Unknown,Echo,True,Unknown,0,False,"Alternative Pop/Rock, Alternative/Indie Rock, Pop Punk, Britpop, Indie Pop","Boisterous, Brash, Confident, Energetic, Exuberant, Rambunctious, Rollicking, Rowdy, Earnest, Freewheeling, Fun, Poignant, Rousing",Day Driving,album,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Britpop, Indie Pop, Pop Punk","Strong, Belligerent, Sentimental",Unknown,37:40,2260.0,Group,N/A (Group),GB,1989,,True,True,0,False,0.397,0.889,9,-7.034,1,0.106,0.00647,0.206,0.443,0.516,151.514,4
3dvxpgCNCgZqSqAdnSNU7n,Intense Thing,Ash,Trailer,Unknown,1994-10-01,3,1,274200,274.2,XW,"Mark Hamilton, Rick McMurray, Tim Wheeler",Unknown,Echo,True,alternative rock;indie;indie rock;pop rock;punk;rock,6,True,Unknown,Unknown,Unknown,album,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Britpop, Indie Pop, Pop Punk","Strong, Belligerent, Sentimental",Unknown,37:40,2260.0,Group,N/A (Group),GB,1989,,True,False,0,False,0.412,0.979,9,-4.714,0,0.0549,0.000661,0.886,0.362,0.364,98.908,4
1o5gIYys3cw11Ryur8GrND,Uncle Pat,Ash,Trailer,Pop/Rock,1994-10-01,4,1,192133,192.13,GB,Tim Wheeler,Unknown,Edsel Records,True,Unknown,0,False,"Alternative Pop/Rock, Alternative/Indie Rock, Pop Punk, Britpop, Indie Pop","Boisterous, Brash, Confident, Energetic, Exuberant, Rambunctious, Rollicking, Rowdy, Freewheeling, Rousing, Aggressive",Day Driving,album,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Britpop, Indie Pop, Pop Punk","Strong, Belligerent, Sentimental",Unknown,37:40,2260.0,Group,N/A (Group),GB,1989,,True,False,0,False,0.506,0.715,9,-5.216,1,0.0331,0.032,0.0411,0.249,0.78,98.929,4
37LhwN5oJmvVmhBpl4MpSA,Get Out,Ash,Trailer,Pop/Rock,1994-10-01,5,1,103200,103.2,XW,"Mark Hamilton, Tim Wheeler",Unknown,Echo,True,britpop;indie;indie rock;punk;rock,5,True,"Alternative Pop/Rock, Alternative/Indie Rock, Pop Punk, Britpop, Indie Pop","Boisterous, Brash, Confident, Energetic, Exuberant, Rambunctious, Rollicking, Rowdy, Freewheeling, Rousing, Aggressive",Day Driving,album,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Britpop, Indie Pop, Pop Punk","Strong, Belligerent, Sentimental",Unknown,37:40,2260.0,Group,N/A (Group),GB,1989,,True,False,0,False,0.368,0.993,11,-4.658,0,0.188,0.351,0.189,0.716,0.107,155.621,4
1ghYcDSNQofy8I5IjX0Eq4,Petrol,Ash,Trailer,Pop/Rock,1994-10-01,6,1,250800,250.8,JP,"Mark Hamilton, Tim Wheeler",Unknown,Sony Music Japan International Inc.,True,Unknown,0,False,"Alternative Pop/Rock, Alternative/Indie Rock, Pop Punk, Britpop, Indie Pop","Boisterous, Brash, Confident, Energetic, Exuberant, Rambunctious, Rollicking, Rowdy, Freewheeling, Rousing, Aggressive",Day Driving,album,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Britpop, Indie Pop, Pop Punk","Strong, Belligerent, Sentimental",Unknown,37:40,2260.0,Group,N/A (Group),GB,1989,,True,True,0,False,0.457,0.942,4,-6.007,1,0.0744,0.0451,0.771,0.351,0.705,151.424,4
7zDKcvQ2LdmbAxDrVv1bFw,Obscure Thing,Ash,Trailer,Unknown,1994-10-01,7,1,262400,262.4,US,"Mark Hamilton, Rick McMurray, Tim Wheeler",Unknown,Reprise Records,True,indie;indie rock;pop;punk;rock,5,True,Unknown,Unknown,Unknown,album,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Britpop, Indie Pop, Pop Punk","Strong, Belligerent, Sentimental",Unknown,37:40,2260.0,Group,N/A (Group),GB,1989,,True,False,0,False,0.381,0.989,9,-5.206,0,0.111,0.108,0.871,0.116,0.156,105.508,4
0cA41ydiosNCgmmGiCST65,Girl from Mars,Ash,1977,Pop/Rock,1996-05-06,3,1,210200,210.2,GB,Tim Wheeler,"Rockfield, Wales",Rhino,True,Unknown,0,False,"Alternative Pop/Rock, Alternative/Indie Rock, Britpop, Indie Pop, Pop Punk","Exuberant, Innocent, Playful, Whimsical, Cheerful, Confident, Earnest, Energetic, Summery, Boisterous, Fun, Rambunctious, Rollicking, Aggressive, Brash, Rowdy","In Love, Reminiscing",album,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Britpop, Indie Pop, Pop Punk","Aggressive, Boisterous, Brash, Cheerful, Confident, Earnest, Energetic, Exuberant, Fun, Innocent, Playful, Rambunctious, Rollicking, Rowdy, Summery, Whimsical","Guys Night Out, Drinking, Youth, Cool & Cocky, Hanging Out, Partying",01:02:23,3743.0,Group,N/A (Group),GB,1989,,True,True,56,False,0.247,0.764,9,-7.718,1,0.0472,0.00542,0.0,0.16,0.503,154.707,4
7npgVYPIv7jzYC9yFKKHig,Goldfinger,Ash,1977,Unknown,1996-05-06,2,1,271733,271.73,Unknown,Tim Wheeler,"Rockfield, Wales",Unknown,False,Unknown,0,False,Unknown,Unknown,Unknown,album,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Britpop, Indie Pop, Pop Punk","Aggressive, Boisterous, Brash, Cheerful, Confident, Earnest, Energetic, Exuberant, Fun, Innocent, Playful, Rambunctious, Rollicking, Rowdy, Summery, Whimsical","Guys Night Out, Drinking, Youth, Cool & Cocky, Hanging Out, Partying",01:02:23,3743.0,Group,N/A (Group),GB,1989,,True,True,45,False,0.253,0.957,6,-3.399,1,0.0558,0.0221,0.11,0.366,0.33,188.013,4
3wUtrrnRvFEv3JTFYDqucE,Oh Yeah,Ash,1977,Pop/Rock,1996-05-06,7,1,285467,285.47,XE,Tim Wheeler,"Rockfield, Wales",Unknown,False,Unknown,0,False,"Alternative Pop/Rock, Alternative/Indie Rock, Britpop, Indie Pop, Pop Punk","Energetic, Confident, Exuberant, Rowdy, Carefree, Dreamy, Yearning, Earnest, Fun, Playful, Summery, Cheerful, Innocent, Whimsical","In Love, Reminiscing, Summer",album,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Britpop, Indie Pop, Pop Punk","Aggressive, Boisterous, Brash, Cheerful, Confident, Earnest, Energetic, Exuberant, Fun, Innocent, Playful, Rambunctious, Rollicking, Rowdy, Summery, Whimsical","Guys Night Out, Drinking, Youth, Cool & Cocky, Hanging Out, Partying",01:02:23,3743.0,Group,N/A (Group),GB,1989,,True,False,42,False,0.122,0.692,9,-4.677,1,0.0336,0.0193,0.0494,0.245,0.149,179.155,4
