track_id,track_name,track_number,disc_number,artist_id,artist_name,album_id,album_name,album_type,release_date,duration_ms,duration_s,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,musicbrainz_mbid,musicbrainz_release_date,musicbrainz_release_country,musicbrainz_label,musicbrainz_artist_type,musicbrainz_gender,musicbrainz_artist_country,musicbrainz_artist_lifespan_begin,musicbrainz_artist_lifespan_end,musicbrainz_tags,musicbrainz_has_label,musicbrainz_num_tags,musicbrainz_has_tags,musicbrainz_is_active,allmusic_song_genre,allmusic_song_style,allmusic_song_mood,allmusic_song_theme,allmusic_composers,allmusic_track_pick,allmusic_album_genre,allmusic_album_style,allmusic_album_mood,allmusic_album_theme,allmusic_album_duration,allmusic_recording_location,allmusic_release_date,allmusic_album_duration_sec
4Kucn8p48pDkoZdIRCOB01,Season,1,1,2evydP72Z45DouM4uMGsIE,Ash,0pkWCNA261tGf3nhmptU34,Trailer,album,1994-10-01,181040,181.04,0,False,0.209,0.992,0,-6.059,1,0.109,0.000896,0.84,0.517,0.207,171.929,4,098f842d-6628-4978-94f3-e152b1f1aed0,,Unknown,Unknown,Group,N/A (Group),GB,1989,,Unknown,False,0,False,True,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Pop Punk, Britpop, Indie Pop","Boisterous, Brash, Confident, Energetic, Exuberant, Rambunctious, Rollicking, Rowdy, Freewheeling, Rousing, Aggressive",Day Driving,Tim Wheeler,False,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Britpop, Indie Pop, Pop Punk","Strong, Belligerent, Sentimental",Unknown,37:40,Unknown,1995-10,2260.0
0boNKrTLvgY200vkhmfkrl,Jack Names The Planets,2,1,2evydP72Z45DouM4uMGsIE,Ash,0pkWCNA261tGf3nhmptU34,Trailer,album,1994-10-01,190360,190.36,0,False,0.397,0.889,9,-7.034,1,0.106,0.00647,0.206,0.443,0.516,151.514,4,96388e46-7362-40bd-979c-d16e08172e72,1994-10-01,XW,Echo,Group,N/A (Group),GB,1989,,Unknown,True,0,False,True,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Pop Punk, Britpop, Indie Pop","Boisterous, Brash, Confident, Energetic, Exuberant, Rambunctious, Rollicking, Rowdy, Earnest, Freewheeling, Fun, Poignant, Rousing",Day Driving,Tim Wheeler,True,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Britpop, Indie Pop, Pop Punk","Strong, Belligerent, Sentimental",Unknown,37:40,Unknown,1995-10,2260.0
3dvxpgCNCgZqSqAdnSNU7n,Intense Thing,3,1,2evydP72Z45DouM4uMGsIE,Ash,0pkWCNA261tGf3nhmptU34,Trailer,album,1994-10-01,274200,274.2,0,False,0.412,0.979,9,-4.714,0,0.0549,0.000661,0.886,0.362,0.364,98.908,4,ee26fb03-16fe-4737-9e83-7189da3a16d0,1994-10-01,XW,Echo,Group,N/A (Group),GB,1989,,alternative rock;indie;indie rock;pop rock;punk;rock,True,6,True,True,Unknown,Unknown,Unknown,Unknown,"Mark Hamilton, Rick McMurray, Tim Wheeler",False,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Britpop, Indie Pop, Pop Punk","Strong, Belligerent, Sentimental",Unknown,37:40,Unknown,1995-10,2260.0
1o5gIYys3cw11Ryur8GrND,Uncle Pat,4,1,2evydP72Z45DouM4uMGsIE,Ash,0pkWCNA261tGf3nhmptU34,Trailer,album,1994-10-01,192133,192.13,0,False,0.506,0.715,9,-5.216,1,0.0331,0.032,0.0411,0.249,0.78,98.929,4,accceed3-5be4-4520-a3b4-56885c7404e6,2019-03-22,GB,Edsel Records,Group,N/A (Group),GB,1989,,Unknown,True,0,False,True,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Pop Punk, Britpop, Indie Pop","Boisterous, Brash, Confident, Energetic, Exuberant, Rambunctious, Rollicking, Rowdy, Freewheeling, Rousing, Aggressive",Day Driving,Tim Wheeler,False,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Britpop, Indie Pop, Pop Punk","Strong, Belligerent, Sentimental",Unknown,37:40,Unknown,1995-10,2260.0
37LhwN5oJmvVmhBpl4MpSA,Get Out,5,1,2evydP72Z45DouM4uMGsIE,Ash,0pkWCNA261tGf3nhmptU34,Trailer,album,1994-10-01,103200,103.2,0,False,0.368,0.993,11,-4.658,0,0.188,0.351,0.189,0.716,0.107,155.621,4,2fffca52-32c9-4e17-a4d1-d08a92f290b0,1994-10-01,XW,Echo,Group,N/A (Group),GB,1989,,britpop;indie;indie rock;punk;rock,True,5,True,True,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Pop Punk, Britpop, Indie Pop","Boisterous, Brash, Confident, Energetic, Exuberant, Rambunctious, Rollicking, Rowdy, Freewheeling, Rousing, Aggressive",Day Driving,"Mark Hamilton, Tim Wheeler",False,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Britpop, Indie Pop, Pop Punk","Strong, Belligerent, Sentimental",Unknown,37:40,Unknown,1995-10,2260.0
1ghYcDSNQofy8I5IjX0Eq4,Petrol,6,1,2evydP72Z45DouM4uMGsIE,Ash,0pkWCNA261tGf3nhmptU34,Trailer,album,1994-10-01,250800,250.8,0,False,0.457,0.942,4,-6.007,1,0.0744,0.0451,0.771,0.351,0.705,151.424,4,f99abffd-2ba7-4385-a232-3908dbf584b3,2007-06-27,JP,Sony Music Japan International Inc.,Group,N/A (Group),GB,1989,,Unknown,True,0,False,True,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Pop Punk, Britpop, Indie Pop","Boisterous, Brash, Confident, Energetic, Exuberant, Rambunctious, Rollicking, Rowdy, Freewheeling, Rousing, Aggressive",Day Driving,"Mark Hamilton, Tim Wheeler",True,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Britpop, Indie Pop, Pop Punk","Strong, Belligerent, Sentimental",Unknown,37:40,Unknown,1995-10,2260.0
7zDKcvQ2LdmbAxDrVv1bFw,Obscure Thing,7,1,2evydP72Z45DouM4uMGsIE,Ash,0pkWCNA261tGf3nhmptU34,Trailer,album,1994-10-01,262400,262.4,0,False,0.381,0.989,9,-5.206,0,0.111,0.108,0.871,0.116,0.156,105.508,4,dc4bbd78-7635-4751-a2f0-1e1e960388b2,1995,US,Reprise Records,Group,N/A (Group),GB,1989,,indie;indie rock;pop;punk;rock,True,5,True,True,Unknown,Unknown,Unknown,Unknown,"Mark Hamilton, Rick McMurray, Tim Wheeler",False,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Britpop, Indie Pop, Pop Punk","Strong, Belligerent, Sentimental",Unknown,37:40,Unknown,1995-10,2260.0
0cA41ydiosNCgmmGiCST65,Girl from Mars,3,1,2evydP72Z45DouM4uMGsIE,Ash,1fxOFs3nc2mGf69PEbEQbf,1977,album,1996-05-06,210200,210.2,56,False,0.247,0.764,9,-7.718,1,0.0472,0.00542,0.0,0.16,0.503,154.707,4,22e9a903-81a8-44b3-8589-fec45b715f67,2008-11-03,GB,Rhino,Group,N/A (Group),GB,1989,,Unknown,True,0,False,True,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Britpop, Indie Pop, Pop Punk","Exuberant, Innocent, Playful, Whimsical, Cheerful, Confident, Earnest, Energetic, Summery, Boisterous, Fun, Rambunctious, Rollicking, Aggressive, Brash, Rowdy","In Love, Reminiscing",Tim Wheeler,True,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Britpop, Indie Pop, Pop Punk","Aggressive, Boisterous, Brash, Cheerful, Confident, Earnest, Energetic, Exuberant, Fun, Innocent, Playful, Rambunctious, Rollicking, Rowdy, Summery, Whimsical","Guys Night Out, Drinking, Youth, Cool & Cocky, Hanging Out, Partying",01:02:23,"Rockfield, Wales",1996-05-06,3743.0
7npgVYPIv7jzYC9yFKKHig,Goldfinger,2,1,2evydP72Z45DouM4uMGsIE,Ash,1fxOFs3nc2mGf69PEbEQbf,1977,album,1996-05-06,271733,271.73,45,False,0.253,0.957,6,-3.399,1,0.0558,0.0221,0.11,0.366,0.33,188.013,4,187d9fae-9190-4363-bfc9-5e5d54c105c8,,Unknown,Unknown,Group,N/A (Group),GB,1989,,Unknown,False,0,False,True,Unknown,Unknown,Unknown,Unknown,Tim Wheeler,True,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Britpop, Indie Pop, Pop Punk","Aggressive, Boisterous, Brash, Cheerful, Confident, Earnest, Energetic, Exuberant, Fun, Innocent, Playful, Rambunctious, Rollicking, Rowdy, Summery, Whimsical","Guys Night Out, Drinking, Youth, Cool & Cocky, Hanging Out, Partying",01:02:23,"Rockfield, Wales",1996-05-06,3743.0
3wUtrrnRvFEv3JTFYDqucE,Oh Yeah,7,1,2evydP72Z45DouM4uMGsIE,Ash,1fxOFs3nc2mGf69PEbEQbf,1977,album,1996-05-06,285467,285.47,42,False,0.122,0.692,9,-4.677,1,0.0336,0.0193,0.0494,0.245,0.149,179.155,4,d829f64e-596a-4ba4-8f4b-78a679bd0f82,1997,XE,Unknown,Group,N/A (Group),GB,1989,,Unknown,False,0,False,True,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Britpop, Indie Pop, Pop Punk","Energetic, Confident, Exuberant, Rowdy, Carefree, Dreamy, Yearning, Earnest, Fun, Playful, Summery, Cheerful, Innocent, Whimsical","In Love, Reminiscing, Summer",Tim Wheeler,False,Pop/Rock,"Alternative Pop/Rock, Alternative/Indie Rock, Britpop, Indie Pop, Pop Punk","Aggressive, Boisterous, Brash, Cheerful, Confident, Earnest, Energetic, Exuberant, Fun, Innocent, Playful, Rambunctious, Rollicking, Rowdy, Summery, Whimsical","Guys Night Out, Drinking, Youth, Cool & Cocky, Hanging Out, Partying",01:02:23,"Rockfield, Wales",1996-05-06,3743.0
