spotify_track_id,mbid,isrc,release_date,release_country,label,artist_type,gender,artist_country,artist_lifespan_begin,artist_lifespan_end,tags
4Kucn8p48pDkoZdIRCOB01,098f842d-6628-4978-94f3-e152b1f1aed0,,,,,Group,,GB,1989,,
0boNKrTLvgY200vkhmfkrl,96388e46-7362-40bd-979c-d16e08172e72,,1994-10-01,XW,Echo,Group,,GB,1989,,
3dvxpgCNCgZqSqAdnSNU7n,ee26fb03-16fe-4737-9e83-7189da3a16d0,GBCRL0800534,1994-10-01,XW,Echo,Group,,GB,1989,,alternative rock;indie;indie rock;pop rock;punk;rock
1o5gIYys3cw11Ryur8GrND,accceed3-5be4-4520-a3b4-56885c7404e6,,2019-03-22,GB,Edsel Records,Group,,GB,1989,,
37LhwN5oJmvVmhBpl4MpSA,2fffca52-32c9-4e17-a4d1-d08a92f290b0,,1994-10-01,XW,Echo,Group,,GB,1989,,britpop;indie;indie rock;punk;rock
1ghYcDSNQofy8I5IjX0Eq4,f99abffd-2ba7-4385-a232-3908dbf584b3,,2007-06-27,JP,Sony Music Japan International Inc.,Group,,GB,1989,,
7zDKcvQ2LdmbAxDrVv1bFw,dc4bbd78-7635-4751-a2f0-1e1e960388b2,,1995,US,Reprise Records,Group,,GB,1989,,indie;indie rock;pop;punk;rock
0cA41ydiosNCgmmGiCST65,22e9a903-81a8-44b3-8589-fec45b715f67,GBCRL0800561,2008-11-03,GB,Rhino,Group,,GB,1989,,
7npgVYPIv7jzYC9yFKKHig,187d9fae-9190-4363-bfc9-5e5d54c105c8,,,,,Group,,GB,1989,,
3wUtrrnRvFEv3JTFYDqucE,d829f64e-596a-4ba4-8f4b-78a679bd0f82,,1997,XE,,Group,,GB,1989,,
3uxzoRjrJ6YzantwTtWlSb,121535dd-27e6-4596-be88-bb5ca399ee16,,,,,Group,,GB,1989,,
0piEd5VtQCA9UOcfef0g3Z,e591acb0-8888-45d0-ae7f-f9f3bbe08458,,1996,DE,Indigo,Group,,GB,1989,,
