track_id,track_name,track_number,disc_number,artist_id,artist_name,album_id,album_name,album_type,release_date,duration_ms,duration_s,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
4Kucn8p48pDkoZdIRCOB01,Season,1,1,2evydP72Z45DouM4uMGsIE,Ash,0pkWCNA261tGf3nhmptU34,Trailer,album,1994-10-01,181040,181.04,0,False,0.209,0.992,0,-6.059,1,0.109,0.000896,0.84,0.517,0.207,171.929,4
0boNKrTLvgY200vkhmfkrl,Jack Names The Planets,2,1,2evydP72Z45DouM4uMGsIE,Ash,0pkWCNA261tGf3nhmptU34,Trailer,album,1994-10-01,190360,190.36,0,False,0.397,0.889,9,-7.034,1,0.106,0.00647,0.206,0.443,0.516,151.514,4
3dvxpgCNCgZqSqAdnSNU7n,Intense Thing,3,1,2evydP72Z45DouM4uMGsIE,Ash,0pkWCNA261tGf3nhmptU34,Trailer,album,1994-10-01,274200,274.2,0,False,0.412,0.979,9,-4.714,0,0.0549,0.000661,0.886,0.362,0.364,98.908,4
1o5gIYys3cw11Ryur8GrND,Uncle Pat,4,1,2evydP72Z45DouM4uMGsIE,Ash,0pkWCNA261tGf3nhmptU34,Trailer,album,1994-10-01,192133,192.13,0,False,0.506,0.715,9,-5.216,1,0.0331,0.032,0.0411,0.249,0.78,98.929,4
37LhwN5oJmvVmhBpl4MpSA,Get Out,5,1,2evydP72Z45DouM4uMGsIE,Ash,0pkWCNA261tGf3nhmptU34,Trailer,album,1994-10-01,103200,103.2,0,False,0.368,0.993,11,-4.658,0,0.188,0.351,0.189,0.716,0.107,155.621,4
1ghYcDSNQofy8I5IjX0Eq4,Petrol,6,1,2evydP72Z45DouM4uMGsIE,Ash,0pkWCNA261tGf3nhmptU34,Trailer,album,1994-10-01,250800,250.8,0,False,0.457,0.942,4,-6.007,1,0.0744,0.0451,0.771,0.351,0.705,151.424,4
7zDKcvQ2LdmbAxDrVv1bFw,Obscure Thing,7,1,2evydP72Z45DouM4uMGsIE,Ash,0pkWCNA261tGf3nhmptU34,Trailer,album,1994-10-01,262400,262.4,0,False,0.381,0.989,9,-5.206,0,0.111,0.108,0.871,0.116,0.156,105.508,4
0cA41ydiosNCgmmGiCST65,Girl from Mars,3,1,2evydP72Z45DouM4uMGsIE,Ash,1fxOFs3nc2mGf69PEbEQbf,1977,album,1996-05-06,210200,210.2,56,False,0.247,0.764,9,-7.718,1,0.0472,0.00542,0.0,0.16,0.503,154.707,4
7npgVYPIv7jzYC9yFKKHig,Goldfinger,2,1,2evydP72Z45DouM4uMGsIE,Ash,1fxOFs3nc2mGf69PEbEQbf,1977,album,1996-05-06,271733,271.73,45,False,0.253,0.957,6,-3.399,1,0.0558,0.0221,0.11,0.366,0.33,188.013,4
3wUtrrnRvFEv3JTFYDqucE,Oh Yeah,7,1,2evydP72Z45DouM4uMGsIE,Ash,1fxOFs3nc2mGf69PEbEQbf,1977,album,1996-05-06,285467,285.47,42,False,0.122,0.692,9,-4.677,1,0.0336,0.0193,0.0494,0.245,0.149,179.155,4
3uxzoRjrJ6YzantwTtWlSb,Kung Fu,6,1,2evydP72Z45DouM4uMGsIE,Ash,1fxOFs3nc2mGf69PEbEQbf,1977,album,1996-05-06,137307,137.31,40,False,0.254,0.959,9,-4.527,1,0.191,0.00613,7.42e-06,0.337,0.493,176.273,4
0piEd5VtQCA9UOcfef0g3Z,Angel Interceptor,10,1,2evydP72Z45DouM4uMGsIE,Ash,1fxOFs3nc2mGf69PEbEQbf,1977,album,1996-05-06,244333,244.33,36,False,0.219,0.903,4,-4.83,1,0.0754,0.221,0.206,0.373,0.254,167.401,4
